Municipio;Idade;Obito;idade_avancada;casos_confirmados;percent_obitos
ITAPURA;2065.0;13;14;36;0.3611111111111111
ITAQUAQUECETUBA;136473.0;606;1097;2397;0.2528160200250313
ITARARE;24221.0;129;199;420;0.30714285714285716
ITARIRI;10593.0;28;89;182;0.15384615384615385
ITATIBA;66347.0;115;507;1169;0.09837467921300257
ITATINGA;9698.0;36;76;168;0.21428571428571427
ITIRAPINA;8490.0;28;64;149;0.18791946308724833
ITIRAPUA;1708.0;5;17;28;0.17857142857142858
ITOBI;3639.0;11;35;59;0.1864406779661017
ITU;130274.0;331;968;2313;0.14310419368785127
ITUPEVA;47161.0;113;312;860;0.1313953488372093
ITUVERAVA;24688.0;98;189;442;0.22171945701357465
JABORANDI;4204.0;13;30;75;0.17333333333333334
JABOTICABAL;45367.0;93;359;800;0.11625
JACAREI;170474.0;468;1265;3057;0.15309126594700687
JACI;7531.0;18;51;136;0.1323529411764706
JACUPIRANGA;10399.0;38;87;173;0.21965317919075145
JAGUARIUNA;35170.0;76;262;630;0.12063492063492064
JALES;73023.0;180;586;1271;0.14162077104642015
JAMBEIRO;2125.0;7;17;39;0.1794871794871795
JANDIRA;48574.0;185;344;868;0.21313364055299538
JARDINOPOLIS;24525.0;107;207;425;0.25176470588235295
JARINU;10701.0;44;86;187;0.23529411764705882
JAU;82194.0;283;641;1459;0.19396847155586017
JERIQUARA;468.0;2;5;7;0.2857142857142857
JOANOPOLIS;10897.0;3;89;190;0.015789473684210527
JOAO RAMALHO;4971.0;7;33;91;0.07692307692307693
JOSE BONIFACIO;27896.0;116;221;483;0.2401656314699793
JULIO MESQUITA;2661.0;13;27;42;0.30952380952380953
JUMIRIM;1662.0;4;14;28;0.14285714285714285
JUNDIAI;387012.0;1215;3162;6684;0.1817773788150808
JUNQUEIROPOLIS;6278.0;54;55;102;0.5294117647058824
JUQUIA;15669.0;40;125;270;0.14814814814814814
JUQUITIBA;12266.0;62;118;201;0.30845771144278605
LAGOINHA;1966.0;3;23;31;0.0967741935483871
LARANJAL PAULISTA;13171.0;87;108;220;0.39545454545454545
LAVINIA;5522.0;10;42;101;0.09900990099009901
LAVRINHAS;1449.0;3;13;24;0.125
LEME;89250.0;277;694;1584;0.17487373737373738
LENCOIS PAULISTA;64891.0;132;486;1150;0.11478260869565217
LIMEIRA;132702.0;668;1110;2270;0.29427312775330394
LINDOIA;5965.0;14;52;103;0.13592233009708737
LINS;49929.0;201;410;872;0.2305045871559633
LORENA;57397.0;82;457;1016;0.08070866141732283
LOURDES;1765.0;5;16;29;0.1724137931034483
LOUVEIRA;29418.0;72;207;527;0.1366223908918406
LUCELIA;10714.0;47;84;188;0.25
LUCIANOPOLIS;1172.0;1;10;20;0.05
LUIS ANTONIO;10623.0;26;79;194;0.13402061855670103
LUIZIANIA;2494.0;4;21;42;0.09523809523809523
LUPERCIO;3119.0;7;26;55;0.12727272727272726
LUTECIA;1292.0;5;16;21;0.23809523809523808
MACATUBA;17253.0;45;126;311;0.14469453376205788
MACAUBAL;5879.0;15;50;103;0.14563106796116504
MACEDONIA;5092.0;16;40;88;0.18181818181818182
MAGDA;3046.0;7;24;52;0.1346153846153846
MAIRINQUE;20540.0;39;130;374;0.10427807486631016
MAIRIPORA;54995.0;146;444;948;0.1540084388185654
MANDURI;2324.0;10;18;40;0.25
MARABA PAULISTA;1095.0;3;11;17;0.17647058823529413
MARACAI;16842.0;29;107;313;0.0926517571884984
MARAPOAMA;4823.0;9;37;88;0.10227272727272728
MARIAPOLIS;1749.0;4;18;28;0.14285714285714285
MARILIA;239271.0;725;1809;4285;0.1691948658109685
MARINOPOLIS;2770.0;3;24;52;0.057692307692307696
MARTINOPOLIS;15550.0;59;129;269;0.21933085501858737
MATAO;57915.0;154;442;1028;0.14980544747081712
MAUA;204610.0;992;1749;3511;0.2825405867274281
MENDONCA;4785.0;24;38;84;0.2857142857142857
MERIDIANO;3541.0;23;34;56;0.4107142857142857
MESOPOLIS;2305.0;4;11;45;0.08888888888888889
MIGUELOPOLIS;12478.0;55;107;214;0.2570093457943925
MINEIROS DO TIETE;5833.0;19;38;106;0.1792452830188679
MIRA ESTRELA;1959.0;11;19;33;0.3333333333333333
MIRACATU;6625.0;51;53;118;0.4322033898305085
MIRANDOPOLIS;18034.0;57;157;301;0.1893687707641196
MIRANTE DO PARANAPANEMA;8028.0;32;74;129;0.24806201550387597
MIRASSOL;82441.0;218;638;1447;0.15065653075328264
MIRASSOLANDIA;5360.0;13;35;96;0.13541666666666666
MOCOCA;26834.0;174;237;453;0.3841059602649007
MOGI DAS CRUZES;280306.0;1160;2310;4808;0.24126455906821964
MOGI GUACU;105380.0;352;816;1876;0.18763326226012794
MOGI MIRIM;60479.0;250;499;1053;0.23741690408357075
MOMBUCA;2992.0;5;28;50;0.1
MONCOES;1542.0;4;10;28;0.14285714285714285
MONGAGUA;14663.0;45;119;252;0.17857142857142858
MONTE ALEGRE DO SUL;4106.0;6;36;67;0.08955223880597014
MONTE ALTO;41074.0;130;351;696;0.1867816091954023
MONTE APRAZIVEL;35546.0;75;267;638;0.11755485893416928
MONTE AZUL PAULISTA;6872.0;22;59;118;0.1864406779661017
MONTE CASTELO;3089.0;12;33;50;0.24
MONTE MOR;36610.0;93;249;672;0.13839285714285715
MONTEIRO LOBATO;1566.0;7;15;24;0.2916666666666667
MORRO AGUDO;67671.0;65;412;1284;0.050623052959501556
MORUNGABA;3822.0;17;31;64;0.265625
MOTUCA;6280.0;7;33;120;0.058333333333333334
MURUTINGA DO SUL;4133.0;4;32;70;0.05714285714285714
NANTES;1857.0;7;15;31;0.22580645161290322
NAO INFORMADO;2225.0;0;21;36;0.0
NARANDIBA;8737.0;17;58;159;0.1069182389937107
NATIVIDADE DA SERRA;1990.0;7;16;33;0.21212121212121213
NAZARE PAULISTA;5286.0;27;39;93;0.2903225806451613
NEVES PAULISTA;9927.0;34;83;173;0.19653179190751446
NHANDEARA;9194.0;35;77;152;0.23026315789473684
NIPOA;3094.0;12;21;53;0.22641509433962265
NOVA ALIANCA;6423.0;21;58;109;0.1926605504587156
NOVA CAMPINA;2382.0;18;17;42;0.42857142857142855
NOVA CANAA PAULISTA;2160.0;3;23;33;0.09090909090909091
NOVA CASTILHO;655.0;2;5;12;0.16666666666666666
NOVA EUROPA;6776.0;25;44;127;0.1968503937007874
NOVA GRANADA;22550.0;62;188;383;0.1618798955613577
NOVA GUATAPORANGA;1263.0;3;11;22;0.13636363636363635
NOVA INDEPENDENCIA;2537.0;3;14;45;0.06666666666666667
NOVA LUZITANIA;2289.0;9;18;41;0.21951219512195122
NOVA ODESSA;43830.0;127;347;770;0.16493506493506493
NOVAIS;2415.0;9;20;42;0.21428571428571427
NOVO HORIZONTE;35397.0;135;266;646;0.2089783281733746
NUPORANGA;4826.0;8;26;101;0.07920792079207921
OCAUCU;2732.0;3;27;45;0.06666666666666667
OLEO;184.0;2;2;3;0.6666666666666666
OLIMPIA;68777.0;198;560;1193;0.16596814752724226
ONDA VERDE;15264.0;21;96;303;0.06930693069306931
ORIENTE;4078.0;16;35;69;0.2318840579710145
ORINDIUVA;7458.0;13;49;137;0.0948905109489051
ORLANDIA;34784.0;65;279;611;0.10638297872340426
OSASCO;444333.0;1755;3568;7737;0.22683210546723537
OSCAR BRESSANE;3260.0;4;28;55;0.07272727272727272
OSVALDO CRUZ;26038.0;80;197;451;0.17738359201773837
OURINHOS;81245.0;301;631;1433;0.21004884856943476
OURO VERDE;3045.0;17;22;55;0.3090909090909091
OUROESTE;9806.0;17;69;187;0.09090909090909091
PACAEMBU;4315.0;22;36;70;0.3142857142857143
PALESTINA;7970.0;34;60;137;0.24817518248175183
PALMARES PAULISTA;9410.0;32;73;166;0.1927710843373494
PALMEIRA D'OESTE;3853.0;13;39;61;0.21311475409836064
PALMITAL;14549.0;36;132;245;0.1469387755102041
PANORAMA;5575.0;32;50;92;0.34782608695652173
PARAGUACU PAULISTA;26446.0;92;198;465;0.1978494623655914
PARAIBUNA;7303.0;30;65;124;0.24193548387096775
PARAISO;5447.0;15;36;98;0.15306122448979592
PARANAPANEMA;13313.0;49;94;243;0.20164609053497942
PARANAPUA;3191.0;14;34;53;0.2641509433962264
PARAPUA;6870.0;29;63;116;0.25
PARDINHO;3653.0;13;38;57;0.22807017543859648
PARIQUERA-ACU;19681.0;45;146;351;0.1282051282051282
PARISI;4475.0;12;47;76;0.15789473684210525
PATROCINIO PAULISTA;8818.0;24;69;157;0.15286624203821655
PAULICEIA;3732.0;9;30;69;0.13043478260869565
PAULINIA;110963.0;232;819;1961;0.11830698623151453
PAULISTANIA;1199.0;4;10;20;0.2
PAULO DE FARIA;6083.0;24;46;104;0.23076923076923078
PEDERNEIRAS;43202.0;80;323;773;0.1034928848641656
PEDRA BELA;1751.0;1;18;27;0.037037037037037035
PEDRANOPOLIS;1667.0;5;16;28;0.17857142857142858
PEDREGULHO;3362.0;11;30;58;0.1896551724137931
PEDREIRA;23283.0;46;171;404;0.11386138613861387
PEDRINHAS PAULISTA;1678.0;5;16;28;0.17857142857142858
PEDRO DE TOLEDO;4990.0;10;41;85;0.11764705882352941
PENAPOLIS;47916.0;109;357;853;0.12778429073856976
PEREIRA BARRETO;11757.0;54;95;209;0.2583732057416268
PEREIRAS;4860.0;16;33;93;0.17204301075268819
PERUIBE;50602.0;107;393;886;0.12076749435665914
PIACATU;1987.0;7;19;32;0.21875
PIEDADE;33329.0;82;262;588;0.13945578231292516
PILAR DO SUL;10686.0;46;95;177;0.2598870056497175
PINDAMONHANGABA;59871.0;237;489;1047;0.22636103151862463
PINDORAMA;17234.0;34;137;296;0.11486486486486487
PINHALZINHO;5692.0;3;49;97;0.030927835051546393
PIQUEROBI;807.0;4;4;15;0.26666666666666666
PIQUETE;4547.0;12;35;80;0.15
PIRACAIA;14654.0;34;129;247;0.13765182186234817
PIRACICABA;509873.0;981;3748;9131;0.10743620633008433
PIRAJU;16704.0;55;140;289;0.1903114186851211
PIRAJUI;22030.0;36;154;410;0.08780487804878048
PIRANGI;13379.0;37;110;231;0.16017316017316016
PIRAPORA DO BOM JESUS;5126.0;11;36;92;0.11956521739130435
PIRAPOZINHO;17065.0;48;127;297;0.16161616161616163
PIRASSUNUNGA;59199.0;172;450;1052;0.1634980988593156
PIRATININGA;10129.0;23;70;178;0.12921348314606743
PITANGUEIRAS;39114.0;112;291;695;0.16115107913669063
PLANALTO;6491.0;10;38;123;0.08130081300813008
PLATINA;1655.0;7;16;27;0.25925925925925924
POA;70426.0;241;549;1234;0.1952998379254457
POLONI;4610.0;18;33;83;0.21686746987951808
POMPEIA;11598.0;27;105;192;0.140625
PONGAI;2795.0;9;25;46;0.1956521739130435
PONTAL;39161.0;124;296;689;0.1799709724238026
PONTALINDA;2283.0;13;19;39;0.3333333333333333
PONTES GESTAL;3844.0;5;33;67;0.07462686567164178
POPULINA;3084.0;7;24;57;0.12280701754385964
PORANGABA;3698.0;15;33;63;0.23809523809523808
PORTO FELIZ;37370.0;104;309;644;0.16149068322981366
PORTO FERREIRA;40259.0;109;291;728;0.14972527472527472
POTIM;9561.0;20;73;168;0.11904761904761904
POTIRENDABA;30022.0;61;229;529;0.11531190926275993
PRACINHA;601.0;1;4;12;0.08333333333333333
PRADOPOLIS;14204.0;29;124;240;0.12083333333333333
PRAIA GRANDE;153363.0;435;1165;2728;0.1594574780058651
PRATANIA;4074.0;9;22;77;0.11688311688311688
PRESIDENTE ALVES;1078.0;4;11;19;0.21052631578947367
PRESIDENTE BERNARDES;10463.0;30;82;176;0.17045454545454544
PRESIDENTE EPITACIO;16599.0;84;132;286;0.2937062937062937
PRESIDENTE PRUDENTE;200192.0;582;1564;3512;0.16571753986332574
PRESIDENTE VENCESLAU;26165.0;76;216;451;0.16851441241685144
PROMISSAO;60980.0;68;368;1154;0.058925476603119586
QUADRA;669.0;2;9;10;0.2
QUATA;4182.0;12;31;77;0.15584415584415584
QUEIROZ;1688.0;1;16;27;0.037037037037037035
QUELUZ;6842.0;6;54;116;0.05172413793103448
QUINTANA;3627.0;14;30;64;0.21875
RAFARD;5347.0;7;40;95;0.07368421052631578
RANCHARIA;19668.0;26;148;346;0.07514450867052024
REDENCAO DA SERRA;1168.0;1;11;20;0.05
REGENTE FEIJO;12304.0;43;104;211;0.2037914691943128
REGINOPOLIS;3147.0;12;28;55;0.21818181818181817
REGISTRO;32118.0;140;272;539;0.2597402597402597
RESTINGA;2135.0;8;20;36;0.2222222222222222
RIBEIRA;1520.0;4;12;25;0.16
RIBEIRAO BONITO;6039.0;22;52;103;0.21359223300970873
RIBEIRAO BRANCO;19023.0;46;115;350;0.13142857142857142
RIBEIRAO CORRENTE;1711.0;3;13;31;0.0967741935483871
RIBEIRAO DO SUL;1667.0;14;17;26;0.5384615384615384
RIBEIRAO DOS INDIOS;1387.0;6;10;23;0.2608695652173913
RIBEIRAO GRANDE;1571.0;6;13;26;0.23076923076923078
RIBEIRAO PIRES;62109.0;241;514;1052;0.22908745247148288
RIBEIRAO PRETO;605395.0;2311;4958;10431;0.2215511456236219
RIFAINA;3765.0;9;30;66;0.13636363636363635
RINCAO;6419.0;20;52;115;0.17391304347826086
RINOPOLIS;3735.0;11;37;58;0.1896551724137931
RIO CLARO;77325.0;381;639;1328;0.2868975903614458
RIO DAS PEDRAS;28164.0;72;190;513;0.14035087719298245
RIO GRANDE DA SERRA;17090.0;64;135;295;0.21694915254237288
RIOLANDIA;12185.0;24;92;212;0.11320754716981132
RIVERSUL;2232.0;14;21;36;0.3888888888888889
ROSANA;8884.0;30;67;157;0.1910828025477707
ROSEIRA;12955.0;11;77;243;0.04526748971193416
RUBIACEA;1722.0;6;13;32;0.1875
RUBINEIA;4820.0;2;42;80;0.025
SABINO;4381.0;20;45;69;0.2898550724637681
SAGRES;1562.0;3;12;27;0.1111111111111111
SALES;4282.0;20;36;77;0.2597402597402597
SALES OLIVEIRA;17630.0;22;123;322;0.06832298136645963
SALESOPOLIS;7322.0;33;62;125;0.264
SALMOURAO;2243.0;10;14;40;0.25
SALTINHO;9022.0;18;75;158;0.11392405063291139
SALTO;74465.0;181;535;1340;0.13507462686567165
SALTO DE PIRAPORA;37831.0;115;281;686;0.16763848396501457
SALTO GRANDE;8691.0;5;55;161;0.031055900621118012
SANDOVALINA;1495.0;10;14;26;0.38461538461538464
SANTA ADELIA;14191.0;42;110;245;0.17142857142857143
SANTA ALBERTINA;4095.0;18;36;70;0.2571428571428571
SANTA BARBARA D'OESTE;206270.0;519;1557;3677;0.1411476747348382
SANTA BRANCA;9667.0;27;70;175;0.15428571428571428
SANTA CLARA D'OESTE;1066.0;4;10;19;0.21052631578947367
SANTA CRUZ DA CONCEICAO;7629.0;9;58;135;0.06666666666666667
SANTA CRUZ DA ESPERANCA;584.0;2;3;11;0.18181818181818182
SANTA CRUZ DAS PALMEIRAS;42607.0;79;284;803;0.09838107098381071
SANTA CRUZ DO RIO PARDO;64107.0;97;435;1176;0.0824829931972789
SANTA ERNESTINA;8130.0;13;55;158;0.08227848101265822
SANTA FE DO SUL;25678.0;59;198;454;0.1299559471365639
