Municipio;Idade;Obito;idade_avancada;casos_confirmados;percent_obitos
SAO CAETANO DO SUL;172340.0;689;1580;2820;0.24432624113475176
SAO CARLOS;174275.0;392;1309;3133;0.12511969358442387
SAO FRANCISCO;1931.0;8;13;34;0.23529411764705882
SAO JOAO DA BOA VISTA;35966.0;194;296;613;0.3164763458401305
SAO JOAO DAS DUAS PONTES;2364.0;5;19;40;0.125
SAO JOAO DE IRACEMA;1412.0;6;12;25;0.24
SAO JOAO DO PAU D'ALHO;435.0;0;4;7;0.0
SAO JOAQUIM DA BARRA;39361.0;95;265;720;0.13194444444444445
SAO JOSE DA BELA VISTA;2734.0;14;23;46;0.30434782608695654
SAO JOSE DO BARREIRO;1104.0;1;7;18;0.05555555555555555
SAO JOSE DO RIO PARDO;17142.0;67;137;295;0.2271186440677966
SAO JOSE DO RIO PRETO;792890.0;2396;6024;14026;0.17082560958220447
SAO JOSE DOS CAMPOS;512961.0;1268;3841;9143;0.13868533304167122
SAO LOURENCO DA SERRA;6102.0;26;56;103;0.2524271844660194
SAO LUIZ DO PARAITINGA;2035.0;14;19;34;0.4117647058823529
SAO MANUEL;41034.0;117;287;756;0.15476190476190477
SAO MIGUEL ARCANJO;16590.0;47;139;279;0.16845878136200718
SAO PAULO;8410306.0;26665;70962;143669;0.1856002338709116
SAO PEDRO;18887.0;64;162;321;0.19937694704049844
SAO PEDRO DO TURVO;7550.0;8;60;138;0.057971014492753624
SAO ROQUE;22135.0;58;176;391;0.1483375959079284
SAO SEBASTIAO;41753.0;106;326;739;0.14343707713125844
SAO SEBASTIAO DA GRAMA;6207.0;19;53;106;0.1792452830188679
SAO SIMAO;8707.0;24;63;158;0.1518987341772152
SAO VICENTE;167897.0;605;1334;2966;0.20397842211732975
SARAPUI;1479.0;3;13;24;0.125
SARUTAIA;3254.0;10;27;55;0.18181818181818182
SEBASTIANOPOLIS DO SUL;1397.0;5;12;25;0.2
SERRA AZUL;5631.0;12;52;97;0.12371134020618557
SERRA NEGRA;26905.0;37;212;478;0.07740585774058577
SERRANA;38101.0;80;299;677;0.11816838995568685
SERTAOZINHO;93110.0;345;730;1659;0.20795660036166366
SETE BARRAS;7877.0;29;68;134;0.21641791044776118
SEVERINIA;13443.0;54;109;229;0.23580786026200873
SILVEIRAS;2135.0;3;22;36;0.08333333333333333
SOCORRO;22263.0;45;195;384;0.1171875
SOROCABA;582320.0;1835;4240;10493;0.17487849042218623
SUD MENNUCCI;3617.0;5;24;68;0.07352941176470588
SUMARE;215000.0;558;1552;3902;0.14300358790363915
SUZANAPOLIS;3071.0;8;26;52;0.15384615384615385
SUZANO;157572.0;617;1279;2753;0.22411914275335998
TABAPUA;19678.0;41;143;350;0.11714285714285715
TABATINGA;12066.0;44;87;221;0.19909502262443438
TABOAO DA SERRA;154010.0;579;1196;2745;0.21092896174863388
TACIBA;4526.0;15;33;79;0.189873417721519
TAGUAI;10917.0;28;86;193;0.14507772020725387
TAIACU;3005.0;8;28;52;0.15384615384615385
TAIUVA;3876.0;8;24;68;0.11764705882352941
TAMBAU;8923.0;28;77;150;0.18666666666666668
TANABI;45292.0;86;362;791;0.10872313527180784
TAPIRAI;8067.0;8;56;148;0.05405405405405406
TAPIRATIBA;5018.0;15;35;92;0.16304347826086957
TAQUARAL;2021.0;5;19;32;0.15625
TAQUARITINGA;80696.0;127;479;1572;0.08078880407124682
TAQUARITUBA;15033.0;65;129;255;0.2549019607843137
TAQUARIVAI;1472.0;14;8;27;0.5185185185185185
TARABAI;5080.0;24;48;87;0.27586206896551724
TARUMA;10514.0;39;77;188;0.2074468085106383
TATUI;43707.0;146;340;775;0.18838709677419355
TAUBATE;198859.0;601;1488;3535;0.17001414427157002
TEJUPA;1929.0;6;14;35;0.17142857142857143
TEODORO SAMPAIO;9302.0;30;74;166;0.18072289156626506
TERRA ROXA;11058.0;21;56;226;0.09292035398230089
TIETE;24536.0;75;174;441;0.17006802721088435
TIMBURI;1147.0;7;11;18;0.3888888888888889
TORRE DE PEDRA;2283.0;9;21;37;0.24324324324324326
TORRINHA;7906.0;14;60;138;0.10144927536231885
TRABIJU;1109.0;2;6;24;0.08333333333333333
TREMEMBE;20028.0;32;145;363;0.0881542699724518
TRES FRONTEIRAS;6361.0;17;44;114;0.14912280701754385
TUIUTI;2243.0;3;22;37;0.08108108108108109
TUPA;42257.0;167;366;724;0.23066298342541436
TUPI PAULISTA;8627.0;31;82;144;0.2152777777777778
TURIUBA;667.0;1;5;11;0.09090909090909091
TURMALINA;1217.0;3;12;20;0.15
UBARANA;7030.0;15;59;120;0.125
UBATUBA;44235.0;89;334;788;0.11294416243654823
UBIRAJARA;2215.0;5;21;37;0.13513513513513514
UCHOA;18351.0;24;137;327;0.07339449541284404
UNIAO PAULISTA;2108.0;4;18;38;0.10526315789473684
URANIA;8566.0;27;63;150;0.18
URU;1226.0;5;11;21;0.23809523809523808
URUPES;7298.0;29;63;125;0.232
VALENTIM GENTIL;18144.0;48;130;330;0.14545454545454545
VALINHOS;85523.0;213;629;1515;0.1405940594059406
VALPARAISO;16607.0;51;127;292;0.17465753424657535
VARGEM;2905.0;6;32;46;0.13043478260869565
VARGEM GRANDE DO SUL;10123.0;49;82;179;0.2737430167597765
VARGEM GRANDE PAULISTA;18629.0;70;118;344;0.20348837209302326
VARZEA PAULISTA;40122.0;181;300;727;0.24896836313617607
VERA CRUZ;6322.0;32;51;104;0.3076923076923077
VINHEDO;60655.0;119;460;1069;0.11131898971000935
VIRADOURO;11611.0;52;92;205;0.25365853658536586
VISTA ALEGRE DO ALTO;11474.0;12;68;220;0.05454545454545454
VITORIA BRASIL;2882.0;8;29;48;0.16666666666666666
VOTORANTIM;86656.0;322;676;1520;0.2118421052631579
VOTUPORANGA;130541.0;329;1070;2272;0.144806338028169
ZACARIAS;1609.0;10;16;26;0.38461538461538464
